Street,Area,Price,sqm,Rooms,PricePerSqm,lat,lng
Bosestraße 38,Tempelhof(Tempelhof),921.0,98.0,3,9.39795918367347,52.46261,13.37766
Kurhausstraße 36c,Hermsdorf(Reinickendorf),998.66,92.64,2,10.780008635578584,52.62274000000001,13.2976999
Otto-Braun Strasse 67,Mitte(Mitte),1490.0,21.0,"1,5",70.95238095238095,52.5241556,13.4182118
Otto-Braun Strasse 67,Mitte(Mitte),1690.0,25.0,1,67.6,52.5241556,13.4182118
Güldenhofer Ufer 2,Baumschulenweg(Treptow),795.0,77.13,2,10.3072734344613,52.46652,13.4943601
Gethsemanestraße 6,PrenzlauerBerg(PrenzlauerBerg),690.0,47.06,2,14.662133446663832,52.5481115,13.417475
Lindauer Allee 48,Reinickendorf(Reinickendorf),997.15,118.85,4,8.389987379049222,52.57464,13.34863
Weichselstraße 12,Neukölln(Neukölln),950.0,33.75,2,28.14814814814815,52.48513579999999,13.4344244
Schuchardtweg 0,Wannsee(Zehlendorf),2200.0,129.43,4,16.997604882948313,52.4187327,13.1449761
Antonienstraße 49a,Reinickendorf(Reinickendorf),530.0,57.71,2,9.18385028591232,52.57243,13.31117
Weichselplatz 2,Neukölln(Neukölln),506.0,35.5,1,14.253521126760564,52.4876479,13.4382375
Zwieseler Str.  40c,Karlshorst(Lichtenberg),808.0,85.1,2,9.494712103407757,52.488405,13.5401881
Oranienburger Str. 84,Mitte(Mitte),600.15,40.01,"1,5",15.0,52.5235284,13.3993791
,PrenzlauerBerg(PrenzlauerBerg),1598.0,89.0,3,17.95505617977528,52.5391787,13.4242073
Egmontstraße 4 a,Lichtenberg(Lichtenberg),763.96,56.38,2,13.550195104647038,52.51159,13.5041301
,Tiergarten(Tiergarten),675.0,27.0,2,25.0,52.5141516,13.3591634
Lietzenburgerstrasse 88,Charlottenburg(Charlottenburg),1347.0,88.4,3,15.237556561085972,52.5000574,13.3219574
Peter-Hille-Str. 46,Friedrichshagen(Köpenick),597.0,47.79,2,12.492153170119272,52.4523862,13.6206439
Ansbacher Str. 52,Schöneberg(Schöneberg),2350.0,196.0,7,11.989795918367347,52.4981666,13.3395654
Pascalstr. 3,Charlottenburg(Charlottenburg),474.0,35.53,1,13.340838727835632,52.522377,13.3249677
Pascalstr. 3,Charlottenburg(Charlottenburg),451.0,35.27,1,12.787071165296284,52.522377,13.3249677
Schönwalder Straße 29,Wedding(Wedding),838.0,105.28,3,7.9597264437689965,52.5481537,13.2013842
Leberstraße 37,Schöneberg(Schöneberg),536.0,37.8,1,14.17989417989418,52.4828845,13.3616669
Weinbergsweg 6,Mitte(Mitte),1500.0,50.96,2,29.43485086342229,52.5309095,13.4025778
Max-Beer-Straße 9,Mitte(Mitte),1385.67,68.99,3,20.085084794897814,52.5253087,13.4080312
Weinbergsweg 12,Mitte(Mitte),1450.0,50.31,2,28.82130789107533,52.532,13.40374
Otto-Suhr-Allee 18/20,Charlottenburg(Charlottenburg),1999.0,139.83,3,14.295930773081597,52.51428,13.31793
Konstanzer Str. 12,Wilmersdorf(Wilmersdorf),1800.0,84.0,3,21.428571428571427,52.4954556,13.3105818
Neue Grünstrasse 41,Mitte(Mitte),2200.0,99.47,3,22.117221272745553,52.5084886,13.4038699
Straße der Pariser Kommune 18d,Friedrichshain(Friedrichshain),1153.0,70.12,3,16.443240159726184,52.5115,13.43789
Thaerstr. 46,Friedrichshain(Friedrichshain),900.0,54.0,2,16.666666666666668,52.51979,13.45337
Mariendorfer Weg 35,Neukölln(Neukölln),1621.76,112.31,3,14.440032054135873,52.462671,13.4223266
Gabriele Tergit Promenade 21,Tiergarten(Tiergarten),2215.0,119.0,4,18.613445378151262,52.5039938,13.3744329
Lindenstraße 33a,Köpenick(Köpenick),1275.0,97.59,3,13.06486320319705,52.5059082,13.3973952
,Charlottenburg(Charlottenburg),3500.0,140.0,4,25.0,52.5166023,13.3041054
Schwarzheider Str. 20,Hellersdorf(Hellersdorf),486.87,50.61,2,9.620035566093657,52.5359163,13.6228784
Forster Str. 3,Hellersdorf(Hellersdorf),581.04,51.19,2,11.350654424692323,52.4960536,13.4338057
Eschengraben 15,Pankow(Pankow),550.0,61.04,2,9.01048492791612,52.55634,13.416887
Dorstener Str. 5,Lichterfelde(Steglitz),721.44,82.45,3,8.750030321406914,52.4126491,13.3014769
Wiener Straße 31,Kreuzberg(Kreuzberg),1159.96,75.13,2,15.439371755623586,52.4966167,13.4337474
Mulackstr. 6,Mitte(Mitte),850.0,32.45,1,26.194144838212633,52.5273379,13.4070097
Zum Erlengrund 13,Spandau(Spandau),647.0,75.2,3,8.60372340425532,52.5746878,13.2147459
